orderId:ID(Order),OrderDate,RequiredDate,ShippedDate,Freight,ShipName,ShipAddress,ShipCity,ShipRegion,ShipPostalCode,ShipCountry,CustomerName,LastName,FirstName,ShipperName,labels:LABEL
99,2024-08-07 18:19:04,2024-08-13 18:19:04,2024-08-09 18:19:04,477.44,华泰通安科技有限公司网络安全,吉林省建平市东城施路z座 502627,琴县,广西壮族自治区,596062,中国,华泰通安科技有限公司网络安全,孙,建华,圆通速递,Order
98,2024-07-07 08:51:08,2024-07-21 08:51:08,2024-07-09 08:51:08,26.92,良诺传媒有限公司云计算,上海市伟市崇文海口路g座 614302,丽县,浙江省,545223,中国,良诺传媒有限公司云计算,孙,建华,中通快递,Order
93,2025-03-08 11:49:43,2025-03-14 11:49:43,2025-03-13 11:49:43,93.71,通际名联科技有限公司电子商务,安徽省北镇市六枝特淮安路z座 713207,南宁市,上海市,210059,中国,通际名联科技有限公司电子商务,孙,建华,邮政EMS,Order
92,2024-09-22 19:23:43,2024-10-06 19:23:43,,349.37,菊风公司网络有限公司生物科技,上海市齐齐哈尔市黄浦陈街P座 235581,佛山县,黑龙江省,377022,中国,菊风公司网络有限公司生物科技,孙,建华,京东物流,Order
91,2024-01-18 15:23:09,2024-01-30 15:23:09,2024-01-22 15:23:09,29.96,联软传媒有限公司移动应用开发,新疆维吾尔自治区辽阳县高明李路R座 224105,西宁县,宁夏回族自治区,502341,中国,联软传媒有限公司移动应用开发,孙,建华,申通快递,Order
90,2023-11-29 06:25:23,2023-12-09 06:25:23,,160.12,联软传媒有限公司移动应用开发,新疆维吾尔自治区辽阳县高明李路R座 224105,西宁县,宁夏回族自治区,502341,中国,联软传媒有限公司移动应用开发,孙,建华,申通快递,Order
88,2024-11-06 09:27:46,2024-11-11 09:27:46,,265.77,通际名联科技有限公司电子商务,安徽省北镇市六枝特淮安路z座 713207,南宁市,上海市,210059,中国,通际名联科技有限公司电子商务,孙,建华,邮政EMS,Order
85,2023-12-05 14:54:52,2023-12-19 14:54:52,2023-12-08 14:54:52,443.16,易动力科技有限公司金融科技,新疆维吾尔自治区倩市普陀杨路q座 946926,淑兰市,云南省,772140,中国,易动力科技有限公司金融科技,孙,建华,中通快递,Order
79,2023-10-19 19:57:33,2023-10-30 19:57:33,2023-10-20 19:57:33,462.61,南康科技有限公司区块链技术,福建省玉华县闵行淮安街j座 635134,杨市,辽宁省,891938,中国,南康科技有限公司区块链技术,孙,建华,申通快递,Order
76,2023-08-03 18:15:01,2023-08-13 18:15:01,2023-08-05 18:15:01,268.54,易动力科技有限公司金融科技,新疆维吾尔自治区倩市普陀杨路q座 946926,淑兰市,云南省,772140,中国,易动力科技有限公司金融科技,孙,建华,德邦物流,Order
