customerId:ID(Customer),CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,labels:LABEL
BX106,易动力科技有限公司金融科技,姜玉华,总经理,新疆维吾尔自治区倩市普陀杨路q座 946926,淑兰市,云南省,772140,中国,15997898777,15529609364.0,Customer
BY082,商软冠联传媒有限公司金融科技,贺建平,项目经理,浙江省汕尾县六枝特永安路Z座 929256,丽丽县,重庆市,977012,中国,18717142841,13768802996.0,Customer
CH868,菊风公司网络有限公司生物科技,张利,CTO,上海市齐齐哈尔市黄浦陈街P座 235581,佛山县,黑龙江省,377022,中国,18821609903,,Customer
DD734,通际名联科技有限公司电子商务,王琴,CEO,安徽省北镇市六枝特淮安路z座 713207,南宁市,上海市,210059,中国,13345384144,18845836083.0,Customer
DO811,联软传媒有限公司移动应用开发,帅涛,采购总监,新疆维吾尔自治区辽阳县高明李路R座 224105,西宁县,宁夏回族自治区,502341,中国,18707159941,,Customer
EB114,华泰通安科技有限公司网络安全,王丹丹,采购经理,吉林省建平市东城施路z座 502627,琴县,广西壮族自治区,596062,中国,15321604450,,Customer
ER549,太极传媒有限公司信息技术,曹秀云,总经理,吉林省六盘水县锡山长春路O座 752805,南宁市,河北省,257812,中国,15787300224,,Customer
EY913,南康科技有限公司区块链技术,官兰英,总经理,福建省玉华县闵行淮安街j座 635134,杨市,辽宁省,891938,中国,13995708131,13938089438.0,Customer
FI602,天开传媒有限公司信息技术,祝桂英,技术总监,湖北省济南县合川吴街b座 744135,楠县,北京市,103745,中国,13947324957,,Customer
HI563,济南亿次元传媒有限公司云计算,章强,总经理,河北省荣市长寿张街d座 126540,潜江县,河北省,315543,中国,15140964973,13859051499.0,Customer
II197,昂歌信息信息有限公司生物科技,叶欢,采购总监,江苏省玉梅县萧山段路y座 747108,香港市,云南省,260001,中国,13214264446,15345993356.0,Customer
NC742,明腾科技有限公司物联网,欧想,项目经理,安徽省超市沈北新西宁街t座 350970,欢县,辽宁省,239534,中国,18928972995,18889708046.0,Customer
NK179,同兴万点传媒有限公司虚拟现实,王丽华,CTO,青海省永安县永川王街e座 461335,伟县,江苏省,663484,中国,15798345842,,Customer
PA717,雨林木风计算机网络有限公司移动应用开发,张婷,CEO,山东省关岭县吉区邯郸街S座 922992,石家庄市,江西省,983371,中国,14549140938,15631899508.0,Customer
UX029,良诺传媒有限公司云计算,周岩,采购总监,上海市伟市崇文海口路g座 614302,丽县,浙江省,545223,中国,14722992442,18815417081.0,Customer
VF666,商软冠联信息有限公司生物科技,李林,总经理,西藏自治区萍县江北张路m座 732040,贵阳市,山东省,232542,中国,13902536262,18510638643.0,Customer
VO164,九方科技有限公司移动应用开发,殷刚,CEO,广西壮族自治区武汉市淄川关岭路v座 952166,马鞍山县,云南省,823293,中国,14550222592,,Customer
VQ571,襄樊地球村网络有限公司物联网,罗秀荣,CTO,西藏自治区荣市城东西宁路s座 704248,辽阳市,山东省,790076,中国,13129121133,15577268325.0,Customer
XD592,浙大万朋科技有限公司信息技术,何平,总经理,安徽省兴城市沈河通辽街z座 864912,伟市,江苏省,987254,中国,13471109596,13397826449.0,Customer
YH173,网新恒天科技有限公司数字科技,吴建国,CTO,广东省凯县高港合肥街c座 976601,呼和浩特县,重庆市,458156,中国,15114759536,18041637647.0,Customer
